country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Cote d'Ivoire,3500000,3630000,3770000,3920000,4070000,4230000,4380000,4540000,4710000,4900000,5100000,5330000,5580000,5840000,6120000,6410000,6710000,7030000,7350000,7690000,8029999,8390000,8760000,9140000,9530000,9920000,10300000,10700000,11100000,11500000,11900000,12400000,12800000,13300000,13700000,14200000,14700000,15100000,15600000,16000000,16500000,16900000,17200000,17600000,18000000,18400000,18800000,19200000,19600000,20100000,20500000,21000000,21500000,22100000,22600000,23200000
Cameroon,5180000,5290000,5400000,5520000,5640000,5770000,5910000,6050000,6200000,6360000,6520000,6690000,6870000,7050000,7250000,7450000,7660000,7890000,8119999,8369999,8620000,8890000,9170000,9460000,9760000,10100000,10400000,10700000,11100000,11400000,11800000,12100000,12500000,12900000,13200000,13600000,14000000,14300000,14700000,15100000,15500000,15900000,16399999,16800000,17300000,17700000,18200000,18700000,19300000,19800000,20300000,20900000,21500000,22100000,22700000,23300000
"Congo, Dem. Rep.",15200000,15600000,16000000,16500000,16900000,17400000,17900000,18400000,18900000,19500000,20000000,20600000,21100000,21700000,22300000,22900000,23600000,24200000,25000000,25700000,26400000,27000000,27700000,28400000,29100000,29900000,30700000,31500000,32400000,33500000,34600000,35900000,37300000,38800000,40300000,41600000,42800000,43800000,44800000,45900000,47100000,48400000,49900000,51400000,53100000,54800000,56600000,58500000,60400000,62400000,64599999,66800000,69000000,71400000,73800000,76200000
"Congo, Rep.",1020000,1040000,1070000,1100000,1130000,1160000,1190000,1220000,1250000,1290000,1330000,1370000,1410000,1450000,1490000,1540000,1580000,1630000,1680000,1730000,1780000,1830000,1880000,1940000,2000000,2049999,2110000,2170000,2230000,2290000,2360000,2420000,2490000,2560000,2630000,2710000,2790000,2870000,2950000,3040000,3130000,3220000,3310000,3410000,3510000,3620000,3750000,3880000,4010000,4150000,4270000,4390000,4510000,4620000,4740000,4860000
Colombia,16100000,16600000,17100000,17600000,18200000,18700000,19300000,19800000,20400000,20900000,21500000,22000000,22500000,23000000,23500000,24100000,24600000,25200000,25700000,26300000,26900000,27500000,28100000,28700000,29300000,30000000,30600000,31200000,31800000,32500000,33100000,33800000,34400000,35100000,35800000,36400000,37100000,37700000,38400000,39000000,39600000,40300000,40900000,41500000,42100000,42600000,43200000,43700000,44300000,44800000,45200000,45700000,46100000,46500000,47000000,47500000
Comoros,191000,194000,197000,200000,204000,207000,211000,216000,221000,225000,230000,235000,239000,244000,250000,257000,266000,276000,287000,297000,308000,318000,327000,336000,345000,355000,366000,377000,388000,400000,412000,424000,436000,449000,462000,475000,489000,502000,515000,529000,542000,556000,569000,583000,597000,612000,626000,642000,657000,673000,690000,707000,724000,742000,759000,777000
Cape Verde,202000,205000,210000,216000,223000,230000,239000,248000,256000,263000,269000,271000,272000,271000,270000,270000,271000,273000,276000,280000,284000,289000,294000,300000,306000,312000,317000,321000,326000,331000,338000,346000,356000,366000,376000,386000,396000,404000,413000,420000,428000,436000,443000,450000,457000,463000,469000,475000,481000,487000,493000,499000,505000,512000,518000,525000
Costa Rica,1330000,1380000,1430000,1490000,1540000,1590000,1650000,1700000,1750000,1800000,1850000,1900000,1940000,1990000,2040000,2089999,2150000,2210000,2260000,2330000,2390000,2460000,2520000,2590000,2660000,2740000,2810000,2880000,2960000,3040000,3120000,3200000,3290000,3370000,3460000,3550000,3630000,3720000,3800000,3890000,3960000,4030000,4099999,4160000,4230000,4290000,4350000,4400000,4460000,4520000,4580000,4630000,4690000,4740000,4800000,4850000
Cuba,7140000,7290000,7450000,7620000,7790000,7960000,8119999,8270000,8410000,8560000,8710000,8870000,9030000,9180000,9320000,9450000,9550000,9650000,9720000,9790000,9850000,9900000,9940000,9980000,10000000,10100000,10200000,10300000,10400000,10500000,10600000,10700000,10700000,10800000,10800000,10900000,10900000,11000000,11000000,11100000,11100000,11200000,11200000,11200000,11300000,11300000,11300000,11300000,11200000,11200000,11200000,11200000,11300000,11300000,11300000,11300000
Cyprus,573000,576000,578000,578000,579000,581000,585000,591000,598000,606000,614000,621000,628000,635000,642000,650000,658000,666000,673000,680000,685000,689000,692000,694000,698000,704000,712000,723000,736000,751000,767000,783000,801000,819000,837000,855000,873000,891000,909000,926000,943000,960000,977000,994000,1010000,1030000,1050000,1060000,1080000,1100000,1110000,1120000,1140000,1140000,1150000,1160000
Czech Republic,9590000,9640000,9690000,9740000,9780000,9810000,9820000,9820000,9810000,9810000,9820000,9850000,9890000,9950000,10000000,10100000,10100000,10200000,10300000,10300000,10300000,10400000,10400000,10400000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10300000,10400000,10400000,10400000,10400000,10400000,10300000,10300000,10300000,10300000,10300000,10300000,10200000,10200000,10300000,10300000,10400000,10400000,10500000,10500000,10600000,10600000,10600000,10600000,10600000
Germany,73400000,73900000,74500000,75100000,75700000,76300000,76800000,77400000,77800000,78300000,78600000,78800000,78900000,78900000,78900000,78900000,78800000,78700000,78600000,78400000,78300000,78100000,77900000,77800000,77700000,77700000,77800000,78000000,78300000,78700000,79100000,79500000,80000000,80400000,80800000,81100000,81300000,81400000,81400000,81400000,81400000,81500000,81500000,81600000,81600000,81600000,81500000,81300000,81100000,80900000,80800000,80900000,81000000,81200000,81500000,81800000
Djibouti,83600,88500,94200,101000,108000,115000,123000,131000,140000,150000,160000,169000,179000,191000,205000,224000,249000,277000,308000,336000,359000,375000,385000,394000,406000,426000,454000,490000,529000,564000,590000,607000,615000,619000,622000,630000,644000,661000,680000,700000,718000,733000,747000,760000,772000,783000,795000,805000,816000,828000,840000,854000,868000,883000,899000,914000
Dominica,60000,61000,62000,62900,63900,65000,66300,67700,69000,70200,71100,71600,71700,71700,71800,72100,72700,73400,74300,75000,75300,75300,75000,74500,73800,73200,72500,71800,71200,70700,70400,70400,70500,70800,71000,71100,70900,70600,70200,69800,69700,69700,69800,70100,70400,70600,70700,70800,70800,70800,70900,70900,71000,71000,71100,71200
Denmark,4580000,4610000,4650000,4690000,4720000,4760000,4800000,4830000,4870000,4900000,4930000,4960000,4990000,5020000,5040000,5060000,5080000,5100000,5110000,5120000,5120000,5130000,5120000,5120000,5120000,5110000,5110000,5120000,5120000,5130000,5140000,5150000,5170000,5190000,5210000,5230000,5250000,5280000,5300000,5320000,5340000,5360000,5370000,5390000,5400000,5420000,5440000,5470000,5500000,5530000,5550000,5580000,5610000,5640000,5660000,5690000
Dominican Republic,3290000,3410000,3520000,3640000,3760000,3880000,4000000,4120000,4250000,4370000,4500000,4630000,4760000,4880000,5010000,5140000,5280000,5410000,5540000,5670000,5800000,5940000,6070000,6200000,6330000,6460000,6600000,6730000,6860000,7000000,7130000,7270000,7410000,7550000,7680000,7820000,7950000,8080000,8210000,8340000,8470000,8600000,8720000,8850000,8970000,9100000,9220000,9340000,9460000,9580000,9700000,9810000,9930000,10000000,10200000,10300000
Algeria,11100000,11300000,11600000,11900000,12200000,12600000,12900000,13300000,13700000,14100000,14500000,14900000,15300000,15700000,16100000,16600000,17100000,17600000,18100000,18600000,19200000,19800000,20500000,21100000,21800000,22400000,23100000,23800000,24400000,25100000,25800000,26400000,27000000,27600000,28200000,28800000,29300000,29700000,30200000,30600000,31000000,31500000,31900000,32299999,32700000,33100000,33600000,34200000,34700000,35300000,36000000,36700000,37400000,38100000,38900000,39700000
Ecuador,4540000,4670000,4810000,4950000,5090000,5240000,5400000,5560000,5730000,5900000,6070000,6250000,6430000,6610000,6800000,6990000,7190000,7380000,7580000,7780000,7990000,8199999,8410000,8620000,8840000,9070000,9290000,9520000,9760000,9990000,10200000,10500000,10700000,11000000,11200000,11500000,11700000,12000000,12200000,12400000,12700000,12900000,13100000,13400000,13600000,13800000,14100000,14300000,14500000,14800000,15000000,15200000,15500000,15700000,16000000,16200000
Egypt,26600000,27400000,28100000,28900000,29600000,30400000,31200000,32100000,32900000,33700000,34500000,35300000,36100000,36900000,37700000,38500000,39400000,40300000,41300000,42300000,43300000,44400000,45500000,46700000,48000000,49300000,50600000,52000000,53400000,54800000,56100000,57400000,58700000,59900000,61100000,62300000,63600000,64900000,66200000,67500000,68800000,70200000,71500000,72800000,74200000,75500000,76900000,78200000,79600000,81100000,82800000,84500000,86400000,88400000,90400000,92400000
Eritrea,1010000,1030000,1060000,1090000,1120000,1150000,1180000,1210000,1240000,1280000,1310000,1350000,1380000,1420000,1460000,1510000,1550000,1590000,1640000,1680000,1730000,1780000,1840000,1890000,1950000,2000000,2060000,2130000,2190000,2230000,2260000,2270000,2260000,2240000,2220000,2200000,2200000,2200000,2210000,2240000,2290000,2370000,2480000,2600000,2720000,2830000,2920000,3000000,3060000,3120000,3170000,3210000,3250000,3280000,3310000,3340000
Spain,30400000,30700000,31100000,31400000,31800000,32100000,32500000,32799999,33200000,33500000,33900000,34300000,34700000,35100000,35500000,35900000,36300000,36700000,37000000,37400000,37700000,38000000,38200000,38400000,38600000,38700000,38900000,39000000,39000000,39100000,39200000,39300000,39400000,39500000,39700000,39800000,39900000,40000000,40200000,40500000,40800000,41300000,41900000,42600000,43300000,44000000,44700000,45400000,46100000,46600000,46900000,47100000,47100000,46900000,46800000,46700000
Estonia,1220000,1230000,1250000,1260000,1280000,1290000,1300000,1320000,1330000,1350000,1360000,1370000,1390000,1400000,1410000,1420000,1430000,1440000,1450000,1460000,1470000,1480000,1490000,1500000,1510000,1520000,1540000,1550000,1560000,1570000,1570000,1550000,1520000,1490000,1460000,1430000,1420000,1410000,1410000,1400000,1400000,1390000,1380000,1370000,1360000,1360000,1350000,1340000,1340000,1340000,1330000,1330000,1320000,1320000,1320000,1320000
Ethiopia,22200000,22700000,23200000,23800000,24400000,25000000,25600000,26300000,26900000,27700000,28400000,29200000,30100000,31000000,31900000,32600000,33100000,33600000,34000000,34500000,35100000,36000000,37000000,38100000,39400000,40700000,42000000,43300000,44800000,46300000,47900000,49600000,51400000,53300000,55200000,57000000,58900000,60700000,62500000,64300000,66200000,68200000,70100000,72200000,74200000,76300000,78500000,80700000,82900000,85200000,87600000,90100000,92700000,95400000,98100000,101000000
Finland,4430000,4470000,4500000,4530000,4550000,4570000,4580000,4590000,4590000,4600000,4610000,4630000,4650000,4680000,4700000,4720000,4730000,4750000,4760000,4770000,4790000,4810000,4840000,4860000,4890000,4910000,4930000,4950000,4960000,4980000,5000000,5020000,5040000,5070000,5100000,5120000,5140000,5150000,5160000,5180000,5190000,5200000,5210000,5230000,5240000,5260000,5280000,5300000,5320000,5340000,5370000,5390000,5410000,5440000,5460000,5480000
Fiji,393000,407000,422000,436000,451000,464000,476000,488000,499000,510000,521000,532000,543000,554000,565000,577000,588000,598000,609000,622000,635000,651000,668000,685000,700000,712000,719000,722000,723000,725000,729000,735000,744000,755000,766000,775000,784000,793000,800000,806000,811000,814000,815000,816000,818000,822000,828000,836000,845000,854000,860000,863000,865000,866000,866000,869000
France,45700000,46300000,46900000,47600000,48200000,48700000,49200000,49700000,50000000,50400000,50800000,51200000,51600000,52000000,52400000,52700000,53000000,53200000,53400000,53600000,53900000,54100000,54400000,54700000,55000000,55300000,55500000,55800000,56100000,56400000,56700000,56900000,57100000,57400000,57600000,57800000,58000000,58200000,58400000,58700000,59000000,59400000,59800000,60300000,60700000,61100000,61500000,61900000,62200000,62500000,62900000,63200000,63600000,63900000,64200000,64500000
"Micronesia, Fed. Sts.",44500,45900,47400,48900,50500,52200,54200,56300,58400,60100,61400,62100,62300,62300,62500,63100,64400,66100,68200,70500,72900,75400,78000,80600,83200,85600,87900,90000,92000,94100,96300,98800,101000,104000,106000,108000,108000,108000,108000,108000,107000,107000,107000,107000,107000,106000,105000,104000,104000,103000,103000,103000,105000,106000,107000,109000
Gabon,501000,506000,511000,518000,525000,533000,543000,554000,566000,578000,589000,601000,612000,623000,635000,648000,661000,676000,692000,709000,726000,745000,764000,784000,805000,827000,850000,874000,898000,924000,949000,976000,1000000,1030000,1060000,1080000,1110000,1140000,1170000,1200000,1230000,1260000,1290000,1320000,1350000,1390000,1430000,1470000,1520000,1570000,1620000,1680000,1750000,1820000,1880000,1950000
