country,1995,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Marshall Islands,,,,,,,27.8,,,,,,,,,,,,,,,,
Mali,,,57.9,43.3,,,,,,,,,34.3,32.3,35.7,26.9,,24.6,21.9,23.1,20.5,25.5,
Malta,,,19.8,,,,20.4,,17.2,,,27.8,31.5,,32.9,65,40.5,39.2,34.5,29.5,,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,11.4,10.3
Mongolia,,29.1,,,,,,,10.6,,,,,,15.4,,,,,,,,
Mozambique,,,,,,,,,,,71.7,,,,,,61.1,50.2,,,,,
Mauritania,,39.3,,31.8,,,,,,21,,,30.8,,26.5,18.6,19.5,15.3,,17.9,14.2,,
Mauritius,,,,,,13.9,12.5,17.9,17.2,17,16.2,,14.3,14.1,18.4,16,18.2,19.2,28.7,30.7,31.3,32,31.3
Malawi,,,,9.55,25.1,21.8,,,,,,,,,17.4,24.9,,23.9,20.5,26.4,24,,
Malaysia,,16.6,,,21.7,26.4,27,25.1,20.3,,13.8,13.8,12,21.3,18.1,19.2,20.8,20.1,,,21.1,22.6,22.8
Namibia,,,,31,28.9,27.7,22.7,21.7,,,18.5,,15.4,,,,,,,,,,
Niger,,,,,,,,,,,46.8,52.8,50.9,58.8,42.7,51.1,47.2,52,73.2,65,20.6,17.1,
Nicaragua,,,,,,,,,,2.98,3.51,,,,7.43,,,,,,,,
Netherlands,,,20,,,,,,,,,,,,,,,,,22.7,23.1,,
Curaçao,,,,,,,,,,,,,,,,,,22.9,,,,,
Norway,,18.1,29.8,,,,30,31.7,29.4,28.1,25.4,25.6,24.6,28.3,26.8,25.8,,24.5,24.3,26.4,26.8,,
Nepal,,,,13,11.4,13.5,10.5,9.33,,,,,10.5,12.3,11.1,11.6,10.8,9.68,11.2,10.5,,,
New Zealand,,21.6,,,,,,,,,,,,,,,,21.7,21.2,20.8,21.1,,
Oman,,18.9,21.6,,,,16.3,,,12.3,,,,15,,17.6,,20.5,,,35,36,
Pakistan,,,,,,,,,,,,,,,,,,10.9,13.9,16,,,
Panama,,,,18.5,20.9,13.7,15.4,,12,,,14.5,,,,9.19,,,,,,,
Peru,,,11.2,10.5,10.2,9.69,9.18,10.4,10.6,10.1,10.4,10.2,10.5,11.4,10.6,9.16,10.5,10.2,12.8,13.9,13.9,15.1,14.6
Philippines,,10.7,,,10.3,9.09,8.93,9.84,8.85,8.91,,8.83,9.19,,,,,,,,,,
Poland,,,10.8,,,,19.8,19.7,21.4,22,22.9,21.8,22.7,23.7,24.1,23.3,22.4,22.9,22.7,22.3,22.6,,
Puerto Rico,,,,,,,,,,,,,,,,,,20.6,20.2,,,,
